"source","package","before","after"
"workspace catalog","input-otp","^1.4.2","^1.5.0"
"workspace catalog","isomorphic-dompurify","^3.18.0","^3.19.0"
"workspace catalog","jotai","^2.20.1","^2.20.3"
"workspace catalog","jszip","^3.10.1","^3.10.2"
"workspace catalog","ldapts","8.1.8","8.2.0"
"workspace catalog","lucide-react","^1.24.0","^1.47.0"
"workspace catalog","mantine-contextmenu","^9.3.1","^9.4.0"
"workspace catalog","mantine-datatable","^9.3.1","9.3.1"
"workspace catalog","mantine-react-table","npm:mantine-react-table-open@9.0.3","npm:mantine-react-table-open@9.0.6"
"workspace catalog","mermaid","^11.15.0","^11.17.2"
"workspace catalog","motion","^13.0.0","^13.4.0"
"workspace catalog","next","16.3.1","16.3.5"
"workspace catalog","next-intl","4.13.1","4.14.6"
"workspace catalog","oxlint","^1.73.0","^1.85.0"
"workspace catalog","pg","^8.22.0","^8.23.0"
"workspace catalog","pocketbase","^0.26.2","^0.26.9"
"workspace catalog","posthog-js","^1.399.1","^1.434.7"
"workspace catalog","posthog-node","^5.40.0","^5.52.5"
"workspace catalog","react","19.2.7","19.3.0"
"workspace catalog","react-dom","19.2.7","19.3.0"
"workspace catalog","react-error-boundary","^6.1.2","^6.1.6"
"workspace catalog","react-resizable-panels","^4.12.2","^4.13.2"
"workspace catalog","react-shiki","^0.11.0","^0.11.1"
"workspace catalog","recharts","^3.8.0","^3.10.1"
"workspace catalog","sass","^1.101.0","^1.104.1"
"workspace catalog","semantic-release","^25.0.5","^25.0.9"
"workspace catalog","sonner","^2.0.7","^2.0.8"
"workspace catalog","sql.js","^1.14.1","^1.14.2"
"workspace catalog","testcontainers","^12.0.4","^12.1.0"
"workspace catalog","timezones-ical-library","^2.2.1","^2.3.2"
"workspace catalog","tsdav","^2.3.0","^2.3.4"
"workspace catalog","tsx","4.20.4","4.23.15"
"workspace catalog","turbo","^2.10.4","^2.11.2"
"workspace catalog","video.js","^8.23.9","^8.24.1"
"workspace catalog","vite","^8.1.4","^8.3.0"
"workspace catalog","vitest","^4.1.10","^4.1.11"
"workspace catalog","ws","^8.21.0","^8.21.3"
"workspace catalog","yaml","2.9.0","2.9.1"
"workspace catalog","zod","^4.4.3","^4.6.5"
"workspace catalog","zod-form-data","^3.0.2","^3.0.3"
"docs dependencies","@base-ui/react","^1.5.0","^1.8.0"
"docs dependencies","@docusaurus/core","^3.10.1","^3.10.2"
"docs dependencies","@docusaurus/faster","^3.10.1","^3.10.2"
"docs dependencies","@docusaurus/plugin-content-docs","^3.10.1","^3.10.2"
"docs dependencies","@docusaurus/plugin-sitemap","^3.10.1","^3.10.2"
"docs dependencies","@docusaurus/preset-classic","^3.10.1","^3.10.2"
"docs dependencies","@tailwindcss/postcss","^4.3.2","^4.3.3"
"docs dependencies","postcss","^8.5.16","^8.5.28"
"docs dependencies","swiper","^14.0.5","^14.2.0"
"docs dependencies","tailwind-merge","^3.6.0","^3.7.0"
"docs dependencies","tailwindcss","^4.3.2","^4.3.3"
"docs devDependencies","@docusaurus/module-type-aliases","^3.10.1","^3.10.2"
"docs devDependencies","@docusaurus/tsconfig","^3.10.1","^3.10.2"
"docs devDependencies","@docusaurus/types","^3.10.1","^3.10.2"
"docs peerDependencies","@docusaurus/theme-common","^3.10.1","^3.10.2"
"docs peerDependencies","@docusaurus/theme-mermaid","^3.10.1","^3.10.2"
